ccf-rank,abbreviation,ccf-name,publisher,url
CCF-C,STTT,International Journal on Software Tools for Technology Transfer,Springer,http://dblp.uni-trier.de/db/journals/sttt/
CCF-C,JLAP,Journal of Logic and Algebraic Programming,Elsevier,http://dblp.uni-trier.de/db/journals/jlp/jlap.html
CCF-C,JWE,Journal of Web Engineering,Rinton Press,http://dblp.uni-trier.de/db/journals/jwe/
CCF-C,SOCA,Service Oriented Computing and Applications,Springer,http://dblp.uni-trier.de/db/journals/soca/
CCF-C,SQJ,Software Quality Journal,Springer,http://dblp.uni-trier.de/db/journals/sqj/
CCF-C,TPLP,Theory and Practice of Logic Programming,Cambridge University Press,http://dblp.uni-trier.de/db/journals/tplp/
CCF-C,PACM PL,Proceedings of the ACM on Programming Languages,ACM,https://dblp.uni-trier.de/db/journals/pacmpl/index.html
CCF-A,PLDI,ACM SIGPLAN Conference on Programming Language Design & Implementation,ACM,http://dblp.uni-trier.de/db/conf/pldi/
CCF-A,POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,ACM,http://dblp.uni-trier.de/db/conf/popl/
CCF-A,FSE/ESEC,ACM SIGSOFT Symposium on the Foundation of Software Engineering/ European Software Engineering Conference,ACM,http://dblp.uni-trier.de/db/conf/sigsoft/
CCF-A,SOSP,ACM Symposium on Operating Systems Principles,ACM,http://dblp.uni-trier.de/db/conf/sosp/
CCF-A,OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",ACM,http://dblp.uni-trier.de/db/conf/oopsla/
CCF-A,ASE,International Conference on Automated Software Engineering,IEEE/ACM,http://dblp.uni-trier.de/db/conf/kbse/
CCF-A,ICSE,International Conference on Software Engineering,ACM/IEEE,http://dblp.uni-trier.de/db/conf/icse/
CCF-A,ISSTA,International Symposium on Software Testing and Analysis,ACM,http://dblp.uni-trier.de/db/conf/issta/
CCF-A,OSDI,USENIX Symposium on Operating Systems Design and Implementations,USENIX,http://dblp.uni-trier.de/db/conf/osdi/
CCF-A,FM,International Symposium on Formal Methods,FME,http://dblp.uni-trier.de/db/conf/fm/
CCF-B,ECOOP,European Conference on Object-Oriented Programming,AITO,http://dblp.uni-trier.de/db/conf/ecoop/
